discountoffer,total_products,avg_rating,total_reviews
"Rs. 740 OFF",35,1.27,310
"Rs. 554 OFF",35,0.36,15
"Rs. 660 OFF",34,0,0
"Rs. 670 OFF",33,1.65,284
" 48 % OFF",33,2.19,319
"89% OFF",32,0,0
"Rs. 1031 OFF",31,4.08,854
"Rs. 101 OFF",30,1.72,381
"Rs. 999 OFF",30,0.41,57
"Rs. 4700 OFF",30,0.15,11
"Rs. 366 OFF",30,0,0
"Rs. 35 OFF",29,1.96,894
"Rs. 98 OFF",29,2.93,945
"Rs. 270 OFF",29,2.94,2717
"Rs. 280 OFF",29,1.15,411
"Rs. 29 OFF",29,2.06,200
"Rs. 1850 OFF",29,0.56,39
"Rs. 213 OFF",28,1.96,401
"Rs. 320 OFF",28,2.55,987
"Rs. 2050 OFF",28,2.45,404
"Rs. 89 OFF",27,1.81,1142
" 44 % OFF",27,3.45,971
"Rs. 276 OFF",27,1.32,173
"Rs. 709 OFF",27,0.43,20
"Rs. 901 OFF",27,0.27,13
"Rs. 2350 OFF",26,1.29,117
"Rs. 2150 OFF",25,2.1,404
"Rs. 251 OFF",25,1.53,155
"Rs. 99 OFF",25,0,0
" 46 % OFF",24,2.21,1010
" 43 % OFF",24,2.33,3711
"Rs. 133 OFF",24,3.59,1096
"Rs. 1301 OFF",24,1.45,188
"Rs. 30 OFF",24,0.51,138
"Rs. 620 OFF",24,1.48,135
"Rs. 21 OFF",24,2.87,151
"Rs. 701 OFF",24,1.06,55
"Rs. 451 OFF",24,0.75,17
"Rs. 55 OFF",23,0.77,164
"Rs. 710 OFF",23,0.37,49
"Rs. 1165 OFF",23,2.23,162
"Rs. 259 OFF",22,1.77,370
"57% OFF, Hurry*",22,3.87,1084
"Rs. 2250 OFF",22,1.31,109
"Rs. 567 OFF",22,2.6,126
"Rs. 361 OFF",22,0.23,6
"Rs. 970 OFF",22,0,0
"Rs. 3350 OFF",22,0,0
"Rs. 158 OFF",21,2.3,427
"Rs. 580 OFF",21,2.33,163
