discountoffer,total_products,avg_rating,total_reviews
"Rs. 719 OFF",3,1.6,19
"Rs. 226 OFF",3,2.33,34
"Rs. 476 OFF",3,4.37,35
"Rs. 1540 OFF",3,1.2,16
"Rs. 1082 OFF",3,2.83,27
"Rs. 532 OFF",3,3.83,30
"Rs. 985 OFF",3,1.57,15
"Rs. 1590 OFF",3,3.03,19
"Rs. 2496 OFF",3,4.33,21
"Rs. 1355 OFF",3,2.83,20
"Rs. 1770 OFF",3,2.83,15
"Rs. 1005 OFF",3,2.77,19
"Rs. 778 OFF",3,2.8,13
"Rs. 1870 OFF",3,4.2,14
"Rs. 1193 OFF",3,1.43,7
"Rs. 666 OFF",3,1.43,7
"Rs. 905 OFF",3,1.2,7
"Rs. 1690 OFF",3,1.2,7
"Rs. 1053 OFF",3,2.93,11
"Rs. 1055 OFF",3,1.5,6
"Rs. 562 OFF",3,3.27,11
"Rs. 504 OFF",3,1.57,6
"Rs. 1236 OFF",3,1.43,6
"Rs. 3360 OFF",3,1.13,5
"Rs. 1173 OFF",3,2.4,10
"Rs. 1379 OFF",3,1.53,5
"Rs. 2160 OFF",3,1.6,5
"Rs. 695 OFF",3,1.4,5
"Rs. 1385 OFF",3,1.53,5
"Rs. 1999 OFF",3,1.27,5
"Rs. 2680 OFF",3,1.2,5
"Rs. 537 OFF",3,1.43,4
"Rs. 1235 OFF",3,1.43,3
"Rs. 2699 OFF",3,1.57,3
"Rs. 5501 OFF",3,0.9,3
"Rs. 390 OFF",3,1,2
"Rs. 1104 OFF",3,1.67,2
"Rs. 1467 OFF",3,0.67,2
"Rs. 2601 OFF",3,0,0
"Rs. 619 OFF",3,0,0
"Rs. 309 OFF",3,0,0
"Rs. 1252 OFF",3,0,0
"Rs. 1294 OFF",3,0,0
"Rs. 1065 OFF",3,0,0
"Rs. 826 OFF",3,0,0
"Rs. 18100 OFF",3,0,0
"Rs. 609 OFF",3,0,0
"Rs. 1046 OFF",3,0,0
"Rs. 364 OFF",3,0,0
"Rs. 995 OFF",3,0,0
"Rs. 1138 OFF",3,0,0
"Rs. 1374 OFF",3,0,0
"Rs. 1414 OFF",3,0,0
"Rs. 1766 OFF",3,0,0
"Rs. 1706 OFF",3,0,0
"Rs. 2180 OFF",3,0,0
"Rs. 3970 OFF",3,0,0
"Rs. 4340 OFF",3,0,0
"Rs. 994 OFF",3,0,0
"Rs. 11925 OFF",3,0,0
"Rs. 12650 OFF",3,0,0
"Rs. 14375 OFF",3,0,0
"Rs. 1318 OFF",3,0,0
"Rs. 1230 OFF",3,0,0
"Rs. 12500 OFF",3,0,0
"Rs. 1911 OFF",3,0,0
"Rs. 2719 OFF",3,0,0
"Rs. 2406 OFF",3,0,0
"Rs. 2650 OFF",3,0,0
"Rs. 3599 OFF",3,0,0
"Rs. 2749 OFF",3,0,0
"Rs. 3649 OFF",3,0,0
"Rs. 2534 OFF",3,0,0
"Rs. 3299 OFF",3,0,0
"Rs. 5050 OFF",3,0,0
"Rs. 3930 OFF",3,0,0
"Rs. 7306 OFF",3,0,0
"Rs. 661 OFF",3,0,0
"Rs. 1021 OFF",3,0,0
"Rs. 211 OFF",3,0,0
"Rs. 503 OFF",3,0,0
"Rs. 573 OFF",3,0,0
"Rs. 610 OFF",3,0,0
"Rs. 1089 OFF",3,0,0
"Rs. 438 OFF",3,0,0
"Rs. 987 OFF",3,0,0
"Rs. 121 OFF",2,4.25,961
"Rs. 1412 OFF",2,4.1,590
"Rs. 104 OFF",2,4.15,860
"Rs. 1482 OFF",2,4.5,479
"Rs. 1490 OFF",2,4.4,502
"Rs. 968 OFF",2,3.85,490
"Rs. 163 OFF",2,4.3,581
"Rs. 1505 OFF",2,3.55,255
"Rs. 61 OFF",2,4.5,242
"Rs. 738 OFF",2,4.15,335
"Rs. 137 OFF",2,4.3,243
"Rs. 223 OFF",2,4.3,340
"Rs. 941 OFF",2,4.4,318
"Rs. 125 OFF",2,4.05,159
"Rs. 63 OFF",2,4.2,174
"Rs. 1498 OFF",2,4.2,251
"Rs. 1544 OFF",2,2.05,128
"Rs. 367 OFF",2,4.25,231
"Rs. 1133 OFF",2,2.2,102
"Rs. 808 OFF",2,4.05,140
"Rs. 1330 OFF",2,2,95
"Rs. 1035 OFF",2,2.05,68
"Rs. 1248 OFF",2,1.7,64
"Rs. 955 OFF",2,4.45,98
"Rs. 1246 OFF",2,1.85,62
"Rs. 795 OFF",2,3.75,107
"Rs. 1160 OFF",2,2,47
"Rs. 4599 OFF",2,3.2,52
"Rs. 1601 OFF",2,2.05,44
"Rs. 935 OFF",2,4.2,59
"Rs. 1051 OFF",2,3.9,51
"Rs. 2134 OFF",2,2,40
"Rs. 2075 OFF",2,4.1,56
"Rs. 210 OFF",2,2.05,34
"Rs. 313 OFF",2,2.3,33
"Rs. 1109 OFF",2,2.05,33
"Rs. 1631 OFF",2,1.9,30
"Rs. 1213 OFF",2,4,51
"Rs. 248 OFF",2,2.15,28
"Rs. 141 OFF",2,4.25,44
"Rs. 7800 OFF",2,3.75,56
"Rs. 2093 OFF",2,2.1,27
"Rs. 182 OFF",2,4.1,38
"Rs. 256 OFF",2,4.2,39
"Rs. 3151 OFF",2,3.95,30
"Rs. 1093 OFF",2,2,26
"Rs. 1354 OFF",2,4,49
"Rs. 233 OFF",2,3.45,33
"Rs. 289 OFF",2,2.2,21
"Rs. 159 OFF",2,2.15,21
"Rs. 1016 OFF",2,2.3,20
"Rs. 790 OFF",2,3.75,20
"Rs. 1620 OFF",2,2.1,20
"Rs. 971 OFF",2,4.25,25
"Rs. 590 OFF",2,4.5,26
"Rs. 129 OFF",2,4.2,23
"Rs. 7801 OFF",2,2.15,16
"Rs. 2119 OFF",2,2.3,16
"Rs. 2663 OFF",2,2.05,15
"Rs. 1025 OFF",2,3.5,28
"Rs. 466 OFF",2,4.3,22
"Rs. 1967 OFF",2,2.65,19
"Rs. 2083 OFF",2,2.25,14
"Rs. 374 OFF",2,4.3,14
"Rs. 1806 OFF",2,2.25,13
"Rs. 2025 OFF",2,4.65,19
"Rs. 1069 OFF",2,3.55,19
"Rs. 1760 OFF",2,2.4,13
"Rs. 1146 OFF",2,1.65,12
"Rs. 1793 OFF",2,2,12
"Rs. 1180 OFF",2,4.25,19
"Rs. 1452 OFF",2,2.2,12
"Rs. 1610 OFF",2,2.15,12
"Rs. 238 OFF",2,2.3,11
"Rs. 449 OFF",2,1.9,11
"Rs. 561 OFF",2,4.4,13
"Rs. 3470 OFF",2,4.15,18
"Rs. 302 OFF",2,4.7,15
"Rs. 292 OFF",2,2.15,10
"Rs. 1476 OFF",2,2.4,10
"Rs. 1140 OFF",2,1.65,10
"Rs. 703 OFF",2,1.7,10
"Rs. 1815 OFF",2,2.15,10
"Rs. 1805 OFF",2,3.65,16
"Rs. 665 OFF",2,2.35,9
"Rs. 595 OFF",2,1.85,9
"Rs. 1628 OFF",2,2.5,8
"Rs. 916 OFF",2,1.95,8
"Rs. 598 OFF",2,2.3,8
"Rs. 1268 OFF",2,2.3,7
"Rs. 3530 OFF",2,2,6
"Rs. 1105 OFF",2,2.15,6
"Rs. 893 OFF",2,1.65,6
"Rs. 2280 OFF",2,1.9,6
"Rs. 1461 OFF",2,1.4,6
"Rs. 456 OFF",2,1.9,6
"Rs. 84 OFF",2,2.4,6
"Rs. 2055 OFF",2,3.8,11
"Rs. 1113 OFF",2,4.6,9
"Rs. 523 OFF",2,2.2,5
"Rs. 1845 OFF",2,3.95,9
"Rs. 11375 OFF",2,1.6,5
"Rs. 3451 OFF",2,1.9,5
"Rs. 190 OFF",2,4.5,10
"Rs. 9200 OFF",2,2,4
"Rs. 594 OFF",2,2.5,4
"Rs. 1794 OFF",2,1.65,3
"Rs. 275 OFF",2,1.85,3
"Rs. 8300 OFF",2,1.85,3
"Rs. 2830 OFF",2,2.5,3
"Rs. 1693 OFF",2,2.5,2
"Rs. 851 OFF",2,2.5,2
"Rs. 181 OFF",2,2.15,0
"Rs. 1336 OFF",2,4.1,0
"Rs. 848 OFF",2,0,0
"Rs. 1785 OFF",2,0,0
"Rs. 1614 OFF",2,0,0
"Rs. 1533 OFF",2,0,0
"Rs. 1285 OFF",2,0,0
"Rs. 1395 OFF",2,0,0
"Rs. 335 OFF",2,0,0
"Rs. 1343 OFF",2,0,0
"Rs. 20100 OFF",2,0,0
"Rs. 373 OFF",2,0,0
"Rs. 164 OFF",2,0,0
"Rs. 70 OFF",2,0,0
"Rs. 505 OFF",2,0,0
"Rs. 448 OFF",2,0,0
"Rs. 940 OFF",2,0,0
"Rs. 1238 OFF",2,0,0
"Rs. 1351 OFF",2,0,0
"Rs. 1419 OFF",2,0,0
"Rs. 1243 OFF",2,0,0
"Rs. 1561 OFF",2,0,0
"Rs. 1534 OFF",2,0,0
"Rs. 1441 OFF",2,0,0
"Rs. 1930 OFF",2,0,0
"Rs. 2019 OFF",2,0,0
"Rs. 3120 OFF",2,0,0
"Rs. 3920 OFF",2,0,0
"Rs. 5710 OFF",2,0,0
"Rs. 9501 OFF",2,0,0
"Rs. 4750 OFF",2,0,0
"Rs. 13000 OFF",2,0,0
"Rs. 920 OFF",2,0,0
"Rs. 13447 OFF",2,0,0
"Rs. 14100 OFF",2,0,0
"Rs. 14230 OFF",2,0,0
"Rs. 12925 OFF",2,0,0
"Rs. 1454 OFF",2,0,0
"Rs. 15001 OFF",2,0,0
"Rs. 1660 OFF",2,0,0
"Rs. 1749 OFF",2,0,0
"Rs. 20300 OFF",2,0,0
"Rs. 1470 OFF",2,0,0
"Rs. 1014 OFF",2,0,0
"Rs. 1810 OFF",2,0,0
"Rs. 1449 OFF",2,0,0
"Rs. 26496 OFF",2,0,0
"Rs. 2475 OFF",2,0,0
"Rs. 1820 OFF",2,0,0
"Rs. 2720 OFF",2,0,0
"Rs. 2716 OFF",2,0,0
"Rs. 2460 OFF",2,0,0
"Rs. 2199 OFF",2,0,0
"Rs. 2009 OFF",2,0,0
"Rs. 2360 OFF",2,0,0
"Rs. 3249 OFF",2,0,0
"Rs. 3359 OFF",2,0,0
"Rs. 3499 OFF",2,0,0
"Rs. 4696 OFF",2,0,0
"Rs. 4299 OFF",2,0,0
"Rs. 4746 OFF",2,0,0
"Rs. 4251 OFF",2,0,0
"Rs. 6940 OFF",2,0,0
"Rs. 4301 OFF",2,0,0
"Rs. 4620 OFF",2,0,0
"Rs. 4810 OFF",2,0,0
"Rs. 7996 OFF",2,0,0
"Rs. 421 OFF",2,0,0
"Rs. 659 OFF",2,0,0
"Rs. 914 OFF",2,0,0
"Rs. 1721 OFF",2,0,0
"Rs. 2551 OFF",2,0,0
"Rs. 360 OFF",2,0,0
"Rs. 596 OFF",2,0,0
"Rs. 388 OFF",2,0,0
"Rs. 469 OFF",2,0,0
"Rs. 402 OFF",2,0,0
"Rs. 675 OFF",2,0,0
"Rs. 824 OFF",2,0,0
"Rs. 974 OFF",2,0,0
"Rs. 964 OFF",2,0,0
"Rs. 759 OFF",2,0,0
"Rs. 767 OFF",2,0,0
"Rs. 1375 OFF",2,0,0
"Rs. 1245 OFF",2,0,0
"Rs. 1559 OFF",2,0,0
"Rs. 2130 OFF",2,0,0
"Rs. 1047 OFF",2,0,0
"Rs. 3030 OFF",2,0,0
"Rs. 3980 OFF",2,0,0
"Rs. 4110 OFF",2,0,0
"Rs. 4260 OFF",2,0,0
"Rs. 3440 OFF",2,0,0
"Rs. 3640 OFF",2,0,0
"Rs. 1456 OFF",1,3.6,908
"Rs. 38 OFF",1,4.4,892
"Rs. 2216 OFF",1,4.3,842
"Rs. 1215 OFF",1,4.3,711
"Rs. 15 OFF",1,4.3,585
"Rs. 1013 OFF",1,3.7,545
"Rs. 183 OFF",1,4,522
"Rs. 1108 OFF",1,3.8,427
"Rs. 1751 OFF",1,4,296
"Rs. 2038 OFF",1,4,271
"Rs. 46 OFF",1,4.6,238
"Rs. 1163 OFF",1,4.5,196
"Rs. 1518 OFF",1,4.3,188
"Rs. 1656 OFF",1,4.2,166
"Rs. 1943 OFF",1,4,162
"Rs. 3751 OFF",1,4.2,137
"Rs. 491 OFF",1,4.4,133
"Rs. 1958 OFF",1,4.1,129
"Rs. 925 OFF",1,3.8,126
"Rs. 2184 OFF",1,4.1,122
"Rs. 764 OFF",1,4.2,108
"Rs. 1796 OFF",1,4.3,108
"Rs. 543 OFF",1,3.6,103
"Rs. 643 OFF",1,4,98
"Rs. 267 OFF",1,3.8,92
"Rs. 1439 OFF",1,4.2,83
"Rs. 866 OFF",1,4.3,81
"Rs. 1595 OFF",1,3,80
"Rs. 793 OFF",1,4.2,78
"Rs. 991 OFF",1,3.9,76
"Rs. 2876 OFF",1,4.1,65
"Rs. 686 OFF",1,3.5,62
"Rs. 172 OFF",1,4.3,59
"Rs. 1733 OFF",1,3.9,56
"Rs. 723 OFF",1,4.1,55
"Rs. 1851 OFF",1,4.1,55
"Rs. 1585 OFF",1,4.2,54
"Rs. 10500 OFF",1,4.5,53
"Rs. 1367 OFF",1,4.1,53
"Rs. 2386 OFF",1,4,47
"Rs. 2251 OFF",1,4.4,43
"Rs. 435 OFF",1,4.3,40
"Rs. 1618 OFF",1,4.1,40
"Rs. 218 OFF",1,3.5,37
"Rs. 3186 OFF",1,4,37
"Rs. 332 OFF",1,4.7,36
"Rs. 294 OFF",1,4.4,35
"Rs. 463 OFF",1,4.2,34
"Rs. 1261 OFF",1,4,34
"Rs. 1271 OFF",1,4.1,32
"Rs. 1891 OFF",1,4.4,29
"Rs. 1076 OFF",1,4.3,29
"Rs. 145 OFF",1,4.3,29
"Rs. 3196 OFF",1,4.2,27
"Rs. 1603 OFF",1,4.2,26
"Rs. 8396 OFF",1,4,26
"Rs. 162 OFF",1,4.1,25
"Rs. 2802 OFF",1,4.2,25
"Rs. 1101 OFF",1,4,25
"Rs. 809 OFF",1,3.9,24
"Rs. 1676 OFF",1,3,24
"Rs. 124 OFF",1,4.5,23
"Rs. 2499 OFF",1,4,23
"Rs. 565 OFF",1,4.1,23
"Rs. 77 OFF",1,4.4,22
"Rs. 2621 OFF",1,4,20
"Rs. 508 OFF",1,3.1,19
"Rs. 2642 OFF",1,3.1,19
"Rs. 605 OFF",1,4.3,18
"Rs. 15696 OFF",1,3.2,18
"Rs. 1363 OFF",1,4.2,17
"Rs. 2190 OFF",1,3.8,17
"Rs. 1746 OFF",1,3.4,16
"Rs. 1024 OFF",1,3.7,15
"Rs. 2709 OFF",1,4.1,15
"Rs. 2336 OFF",1,4,15
"Rs. 6996 OFF",1,3.7,15
"Rs. 526 OFF",1,4.3,15
"Rs. 407 OFF",1,4.3,14
"Rs. 1483 OFF",1,3.6,13
"Rs. 706 OFF",1,4.5,13
"Rs. 3160 OFF",1,4.5,13
"Rs. 221 OFF",1,4.5,13
"Rs. 2120 OFF",1,4.3,13
"Rs. 7200 OFF",1,4.5,12
"Rs. 2490 OFF",1,3,12
"Rs. 1754 OFF",1,2.8,12
"Rs. 166 OFF",1,4.5,11
"Rs. 972 OFF",1,4.7,11
"Rs. 1057 OFF",1,3.6,11
"Rs. 1370 OFF",1,3.9,10
"Rs. 845 OFF",1,3.9,10
"Rs. 5001 OFF",1,4.3,10
"Rs. 922 OFF",1,3.9,10
"Rs. 485 OFF",1,3.8,10
"Rs. 558 OFF",1,4.5,10
"Rs. 1210 OFF",1,3.3,10
"Rs. 1719 OFF",1,4.4,10
"Rs. 88 OFF",1,4,10
"Rs. 1058 OFF",1,4.8,9
"Rs. 1333 OFF",1,4.6,9
"Rs. 5650 OFF",1,4.1,9
"Rs. 711 OFF",1,4.6,9
"Rs. 909 OFF",1,3.2,9
"Rs. 5251 OFF",1,4.1,9
"Rs. 1678 OFF",1,4.6,9
"Rs. 1630 OFF",1,3.9,9
"Rs. 3250 OFF",1,4.7,9
"Rs. 205 OFF",1,4.2,9
"Rs. 348 OFF",1,4.1,8
"Rs. 409 OFF",1,4.9,8
"Rs. 768 OFF",1,4.8,8
"Rs. 1513 OFF",1,3.1,8
"Rs. 1780 OFF",1,4.3,8
"Rs. 7570 OFF",1,4.1,8
"Rs. 628 OFF",1,3.8,8
"Rs. 19696 OFF",1,2.8,8
"Rs. 1468 OFF",1,4.9,8
"Rs. 1 OFF",1,3.5,8
"Rs. 1859 OFF",1,3.3,8
"Rs. 1435 OFF",1,5,7
"Rs. 635 OFF",1,4.1,7
"Rs. 512 OFF",1,4.1,7
"Rs. 311 OFF",1,4.3,7
"Rs. 843 OFF",1,4.3,7
"Rs. 1633 OFF",1,3.3,7
"Rs. 3840 OFF",1,4.3,7
"Rs. 459 OFF",1,3.9,7
"Rs. 1034 OFF",1,3.1,7
"Rs. 1410 OFF",1,2.7,7
"Rs. 1360 OFF",1,4.7,7
"Rs. 253 OFF",1,4.2,6
"Rs. 2086 OFF",1,3.8,6
"Rs. 2290 OFF",1,4.7,6
"Rs. 1951 OFF",1,3.3,6
"Rs. 2051 OFF",1,4,6
"Rs. 2723 OFF",1,4.5,6
"Rs. 2901 OFF",1,4.3,6
"Rs. 2999 OFF",1,5,6
"Rs. 3245 OFF",1,4.8,6
"Rs. 4400 OFF",1,4,6
"Rs. 299 OFF",1,4.8,6
"Rs. 1043 OFF",1,4,5
"Rs. 1487 OFF",1,4.2,5
"Rs. 135 OFF",1,4.4,5
"Rs. 853 OFF",1,4.6,5
"Rs. 1187 OFF",1,4.6,5
"Rs. 2070 OFF",1,4.6,5
"Rs. 408 OFF",1,4.6,5
"Rs. 5560 OFF",1,4.6,5
"Rs. 16996 OFF",1,4,5
"Rs. 1629 OFF",1,4,5
"Rs. 2439 OFF",1,3.6,5
"Rs. 7201 OFF",1,1.8,5
"Rs. 1342 OFF",1,4.8,5
"Rs. 68 OFF",1,4.8,5
"Rs. 818 OFF",1,4.2,5
"Rs. 528 OFF",1,4.6,5
"Rs. 214 OFF",1,3.8,4
"Rs. 2301 OFF",1,3.5,4
"Rs. 3334 OFF",1,3.5,4
"Rs. 6470 OFF",1,3,4
"Rs. 3740 OFF",1,3.8,4
"Rs. 285 OFF",1,4.8,4
"Rs. 473 OFF",1,3.3,3
"Rs. 1254 OFF",1,4.7,3
"Rs. 2030 OFF",1,4.3,3
"Rs. 2745 OFF",1,2.3,3
"Rs. 3001 OFF",1,3.7,3
"Rs. 5946 OFF",1,4.5,2
"Rs. 7750 OFF",1,4,2
"Rs. 5520 OFF",1,4.5,2
"Rs. 1396 OFF",1,3,2
"Rs. 1224 OFF",1,2.5,2
"Rs. 2520 OFF",1,3.5,2
"Rs. 1028 OFF",1,4.2,0
"Rs. 2178 OFF",1,3.7,0
"Rs. 2799 OFF",1,4.2,0
"Rs. 2899 OFF",1,4,0
"Rs. 539 OFF",1,4.3,0
"Rs. 1361 OFF",1,0,0
"Rs. 1574 OFF",1,0,0
"Rs. 1426 OFF",1,0,0
"Rs. 1495 OFF",1,0,0
"Rs. 1573 OFF",1,0,0
"Rs. 1198 OFF",1,0,0
"Rs. 988 OFF",1,0,0
"Rs. 1114 OFF",1,0,0
"Rs. 1103 OFF",1,0,0
"Rs. 1153 OFF",1,0,0
"Rs. 1126 OFF",1,0,0
"Rs. 1106 OFF",1,0,0
"Rs. 1073 OFF",1,0,0
"Rs. 1174 OFF",1,0,0
"Rs. 1145 OFF",1,0,0
"Rs. 488 OFF",1,0,0
"Rs. 245 OFF",1,0,0
"Rs. 817 OFF",1,0,0
"Rs. 1239 OFF",1,0,0
"Rs. 1195 OFF",1,0,0
"Rs. 1481 OFF",1,0,0
"Rs. 1736 OFF",1,0,0
"Rs. 1901 OFF",1,0,0
"Rs. 21100 OFF",1,0,0
"Rs. 20000 OFF",1,0,0
"Rs. 14000 OFF",1,0,0
"Rs. 16000 OFF",1,0,0
"Rs. 16100 OFF",1,0,0
"Rs. 15000 OFF",1,0,0
"Rs. 17000 OFF",1,0,0
"Rs. 19100 OFF",1,0,0
"Rs. 3570 OFF",1,0,0
"Rs. 484 OFF",1,0,0
"Rs. 117 OFF",1,0,0
"Rs. 316 OFF",1,0,0
"Rs. 395 OFF",1,0,0
"Rs. 426 OFF",1,0,0
"Rs. 386 OFF",1,0,0
"Rs. 97 OFF",1,0,0
"Rs. 2291 OFF",1,0,0
"Rs. 59 OFF",1,0,0
"Rs. 1931 OFF",1,0,0
"Rs. 461 OFF",1,0,0
"Rs. 1840 OFF",1,0,0
"Rs. 1885 OFF",1,0,0
"Rs. 1663 OFF",1,0,0
"Rs. 1275 OFF",1,0,0
"Rs. 209 OFF",1,0,0
"Rs. 215 OFF",1,0,0
"Rs. 179 OFF",1,0,0
"Rs. 804 OFF",1,0,0
"Rs. 1116 OFF",1,0,0
"Rs. 1090 OFF",1,0,0
"Rs. 1178 OFF",1,0,0
"Rs. 1190 OFF",1,0,0
"Rs. 1231 OFF",1,0,0
"Rs. 1463 OFF",1,0,0
"Rs. 1284 OFF",1,0,0
"Rs. 1390 OFF",1,0,0
"Rs. 1148 OFF",1,0,0
"Rs. 1489 OFF",1,0,0
"Rs. 1394 OFF",1,0,0
"Rs. 1287 OFF",1,0,0
"Rs. 1475 OFF",1,0,0
"Rs. 1502 OFF",1,0,0
"Rs. 1548 OFF",1,0,0
"Rs. 1328 OFF",1,0,0
"Rs. 1613 OFF",1,0,0
"Rs. 3220 OFF",1,0,0
"Rs. 5005 OFF",1,0,0
"Rs. 8591 OFF",1,0,0
"Rs. 4332 OFF",1,0,0
"Rs. 7401 OFF",1,0,0
"Rs. 7100 OFF",1,0,0
"Rs. 775 OFF",1,0,0
"Rs. 10691 OFF",1,0,0
"Rs. 8601 OFF",1,0,0
"Rs. 7901 OFF",1,0,0
"Rs. 7251 OFF",1,0,0
"Rs. 1023 OFF",1,0,0
"Rs. 1048 OFF",1,0,0
"Rs. 12896 OFF",1,0,0
"Rs. 9925 OFF",1,0,0
"Rs. 8780 OFF",1,0,0
"Rs. 10001 OFF",1,0,0
"Rs. 13500 OFF",1,0,0
"Rs. 13230 OFF",1,0,0
"Rs. 12867 OFF",1,0,0
"Rs. 13737 OFF",1,0,0
"Rs. 13592 OFF",1,0,0
"Rs. 12940 OFF",1,0,0
"Rs. 11001 OFF",1,0,0
"Rs. 1040 OFF",1,0,0
"Rs. 14737 OFF",1,0,0
"Rs. 14665 OFF",1,0,0
"Rs. 13795 OFF",1,0,0
"Rs. 14882 OFF",1,0,0
"Rs. 14520 OFF",1,0,0
"Rs. 13940 OFF",1,0,0
"Rs. 7850 OFF",1,0,0
"Rs. 1218 OFF",1,0,0
"Rs. 1240 OFF",1,0,0
"Rs. 1469 OFF",1,0,0
"Rs. 18500 OFF",1,0,0
"Rs. 15160 OFF",1,0,0
"Rs. 13001 OFF",1,0,0
"Rs. 14600 OFF",1,0,0
"Rs. 1551 OFF",1,0,0
"Rs. 20206 OFF",1,0,0
"Rs. 1836 OFF",1,0,0
"Rs. 11300 OFF",1,0,0
"Rs. 10600 OFF",1,0,0
"Rs. 1880 OFF",1,0,0
"Rs. 1887 OFF",1,0,0
"Rs. 2346 OFF",1,0,0
"Rs. 1809 OFF",1,0,0
"Rs. 2131 OFF",1,0,0
"Rs. 2041 OFF",1,0,0
"Rs. 2696 OFF",1,0,0
"Rs. 2615 OFF",1,0,0
"Rs. 2718 OFF",1,0,0
"Rs. 2730 OFF",1,0,0
"Rs. 2181 OFF",1,0,0
"Rs. 2896 OFF",1,0,0
"Rs. 2828 OFF",1,0,0
"Rs. 3005 OFF",1,0,0
"Rs. 2069 OFF",1,0,0
"Rs. 3501 OFF",1,0,0
"Rs. 2930 OFF",1,0,0
"Rs. 3791 OFF",1,0,0
"Rs. 36001 OFF",1,0,0
"Rs. 2440 OFF",1,0,0
"Rs. 3668 OFF",1,0,0
"Rs. 3868 OFF",1,0,0
"Rs. 4091 OFF",1,0,0
"Rs. 3351 OFF",1,0,0
"Rs. 3801 OFF",1,0,0
"Rs. 4149 OFF",1,0,0
"Rs. 4475 OFF",1,0,0
"Rs. 4668 OFF",1,0,0
"Rs. 4150 OFF",1,0,0
"Rs. 4050 OFF",1,0,0
"Rs. 4401 OFF",1,0,0
"Rs. 3094 OFF",1,0,0
"Rs. 4310 OFF",1,0,0
"Rs. 4550 OFF",1,0,0
"Rs. 3425 OFF",1,0,0
"Rs. 5700 OFF",1,0,0
"Rs. 4999 OFF",1,0,0
"Rs. 5930 OFF",1,0,0
"Rs. 3541 OFF",1,0,0
"Rs. 6600 OFF",1,0,0
"Rs. 6500 OFF",1,0,0
"Rs. 6796 OFF",1,0,0
"Rs. 7000 OFF",1,0,0
"Rs. 4540 OFF",1,0,0
"Rs. 6390 OFF",1,0,0
"Rs. 7796 OFF",1,0,0
"Rs. 538 OFF",1,0,0
"Rs. 691 OFF",1,0,0
"Rs. 973 OFF",1,0,0
"Rs. 946 OFF",1,0,0
"Rs. 1709 OFF",1,0,0
"Rs. 1359 OFF",1,0,0
"Rs. 1338 OFF",1,0,0
"Rs. 1713 OFF",1,0,0
"Rs. 1821 OFF",1,0,0
"Rs. 2061 OFF",1,0,0
"Rs. 298 OFF",1,0,0
"Rs. 413 OFF",1,0,0
"Rs. 371 OFF",1,0,0
"Rs. 513 OFF",1,0,0
"Rs. 781 OFF",1,0,0
"Rs. 1221 OFF",1,0,0
"Rs. 1321 OFF",1,0,0
"Rs. 96 OFF",1,0,0
"Rs. 1777 OFF",1,0,0
"Rs. 2401 OFF",1,0,0
"Rs. 2641 OFF",1,0,0
"Rs. 2397 OFF",1,0,0
"Rs. 1596 OFF",1,0,0
"Rs. 2877 OFF",1,0,0
"Rs. 1474 OFF",1,0,0
"Rs. 65 OFF",1,0,0
"Rs. 593 OFF",1,0,0
"Rs. 734 OFF",1,0,0
"Rs. 648 OFF",1,0,0
"Rs. 875 OFF",1,0,0
"Rs. 7300 OFF",1,0,0
"Rs. 624 OFF",1,0,0
"Rs. 854 OFF",1,0,0
"Rs. 638 OFF",1,0,0
"Rs. 584 OFF",1,0,0
"Rs. 705 OFF",1,0,0
"Rs. 718 OFF",1,0,0
"Rs. 154 OFF",1,0,0
"Rs. 839 OFF",1,0,0
"Rs. 868 OFF",1,0,0
"Rs. 815 OFF",1,0,0
"Rs. 1282 OFF",1,0,0
"Rs. 1274 OFF",1,0,0
"Rs. 1308 OFF",1,0,0
"Rs. 1204 OFF",1,0,0
"Rs. 1429 OFF",1,0,0
"Rs. 1460 OFF",1,0,0
"Rs. 931 OFF",1,0,0
"Rs. 890 OFF",1,0,0
"Rs. 1313 OFF",1,0,0
"Rs. 1525 OFF",1,0,0
"Rs. 1259 OFF",1,0,0
"Rs. 1954 OFF",1,0,0
"Rs. 1867 OFF",1,0,0
"Rs. 1915 OFF",1,0,0
"Rs. 2015 OFF",1,0,0
"Rs. 1170 OFF",1,0,0
"Rs. 1899 OFF",1,0,0
"Rs. 1445 OFF",1,0,0
"Rs. 2480 OFF",1,0,0
"Rs. 2359 OFF",1,0,0
"Rs. 2599 OFF",1,0,0
"Rs. 2390 OFF",1,0,0
"Rs. 2470 OFF",1,0,0
"Rs. 2570 OFF",1,0,0
"Rs. 2620 OFF",1,0,0
"Rs. 2370 OFF",1,0,0
"Rs. 2451 OFF",1,0,0
"Rs. 2701 OFF",1,0,0
"Rs. 3150 OFF",1,0,0
"Rs. 3270 OFF",1,0,0
"Rs. 3190 OFF",1,0,0
"Rs. 3390 OFF",1,0,0
"Rs. 3340 OFF",1,0,0
"Rs. 3620 OFF",1,0,0
"Rs. 3540 OFF",1,0,0
"Rs. 4220 OFF",1,0,0
"Rs. 4130 OFF",1,0,0
"Rs. 344 OFF",1,0,0
"Rs. 109 OFF",1,0,0
"Rs. 4770 OFF",1,0,0
"Rs. 368 OFF",1,0,0
"Rs. 334 OFF",1,0,0
"Rs. 375 OFF",1,0,0
"Rs. 283 OFF",1,0,0
